Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home Team Result,Away Team Result,Total Goals,Match,Home Scored 2+ Goals,Away Scored 2+ Goals
Sofapaka,Kariobangi Sharks,0,1,Away Win,Loss,Win,1,,No,No
Bandari,AFC Leopards,0,2,Away Win,Loss,Win,2,,No,Yes
KCB,Gor Mahia,1,3,Away Win,Loss,Win,4,,No,Yes
Mathare United,Bandari,0,2,Away Win,Loss,Win,2,,No,Yes
Kariobangi Sharks,KCB,1,2,Away Win,Loss,Win,3,,No,Yes
Kakamega Homeboyz,Gor Mahia,0,2,Away Win,Loss,Win,2,,No,Yes
Bidco United,Ulinzi Stars,1,3,Away Win,Loss,Win,4,,No,Yes
Shabana,Kakamega Homeboyz,0,1,Away Win,Loss,Win,1,,No,No
Mathare United,Tusker FC,1,2,Away Win,Loss,Win,3,,No,Yes
